UF,Sexo,Idade,Cor,Anos.de.Estudo,Renda,Altura
Mato Grosso do Sul,Feminino,26,Branca,11 anos,950,1.73
Mato Grosso do Sul,Masculino,65,Parda,15 anos ou mais,8000,1.67
Mato Grosso do Sul,Masculino,44,Branca,9 anos,3500,1.73
Mato Grosso do Sul,Masculino,17,Parda,6 anos,950,1.65
Mato Grosso do Sul,Masculino,50,Parda,11 anos,3000,1.79
Mato Grosso do Sul,Masculino,37,Branca,15 anos ou mais,4000,1.75
Mato Grosso do Sul,Feminino,32,Amarela,11 anos,2000,1.79
Mato Grosso do Sul,Masculino,52,Parda,11 anos,4500,1.74
Mato Grosso do Sul,Feminino,31,Parda,11 anos,3000,1.9
Mato Grosso do Sul,Feminino,33,Parda,9 anos,1010,1.71
Mato Grosso do Sul,Feminino,52,Parda,2 anos,720,1.69
Mato Grosso do Sul,Masculino,43,Parda,8 anos,3500,1.83
Mato Grosso do Sul,Masculino,52,Branca,15 anos ou mais,9000,1.73
Mato Grosso do Sul,Feminino,63,Parda,Sem instrução e menos de um ano,1800,1.64
Mato Grosso do Sul,Feminino,41,Preta,4 anos,340,1.68
Mato Grosso do Sul,Masculino,58,Parda,5 anos,1200,1.7
Mato Grosso do Sul,Masculino,44,Parda,3 anos,3500,1.8
Mato Grosso do Sul,Masculino,63,Parda,Sem instrução e menos de um ano,1600,1.66
Mato Grosso do Sul,Masculino,48,Parda,1 ano,2000,1.53
Mato Grosso do Sul,Feminino,37,Branca,15 anos ou mais,3500,1.58
Mato Grosso do Sul,Masculino,53,Branca,5 anos,1000,1.71
Mato Grosso do Sul,Masculino,26,Parda,8 anos,800,1.68
Mato Grosso do Sul,Feminino,44,Preta,4 anos,560,1.67
Mato Grosso do Sul,Masculino,32,Branca,11 anos,3500,1.59
Mato Grosso do Sul,Feminino,21,Parda,15 anos ou mais,1000,1.85
Mato Grosso do Sul,Masculino,31,Preta,11 anos,1000,1.76
Mato Grosso do Sul,Masculino,29,Parda,15 anos ou mais,4500,1.5
Mato Grosso do Sul,Masculino,27,Branca,15 anos ou mais,5000,1.73
Mato Grosso do Sul,Masculino,45,Parda,8 anos,1600,1.78
Mato Grosso do Sul,Masculino,78,Branca,1 ano,1500,1.66
Mato Grosso do Sul,Masculino,49,Parda,8 anos,1500,1.73
Mato Grosso do Sul,Masculino,52,Branca,11 anos,3500,1.62
Mato Grosso do Sul,Masculino,21,Preta,9 anos,788,1.75
Mato Grosso do Sul,Masculino,32,Parda,8 anos,1500,1.81
Mato Grosso do Sul,Masculino,42,Parda,2 anos,1380,1.69
Mato Grosso do Sul,Masculino,48,Parda,3 anos,1400,1.69
Mato Grosso do Sul,Masculino,26,Parda,9 anos,1000,1.8
Mato Grosso do Sul,Masculino,44,Branca,1 ano,1576,1.65
Mato Grosso do Sul,Masculino,37,Parda,4 anos,1100,1.88
Mato Grosso do Sul,Masculino,59,Parda,3 anos,788,1.8
Mato Grosso do Sul,Masculino,39,Parda,11 anos,2500,1.62
Mato Grosso do Sul,Masculino,43,Parda,3 anos,1700,1.69
Mato Grosso do Sul,Masculino,33,Branca,6 anos,2300,1.73
Mato Grosso do Sul,Masculino,28,Branca,13 anos,2500,1.68
Mato Grosso do Sul,Feminino,59,Parda,11 anos,200,1.64
Mato Grosso do Sul,Masculino,55,Branca,4 anos,3000,1.64
Mato Grosso do Sul,Masculino,24,Branca,6 anos,2000,1.72
Mato Grosso do Sul,Masculino,65,Parda,4 anos,1500,1.75
Mato Grosso do Sul,Masculino,64,Branca,8 anos,0,1.72
Mato Grosso do Sul,Masculino,52,Parda,Sem instrução e menos de um ano,300,1.77
Mato Grosso do Sul,Feminino,34,Parda,2 anos,300,1.77
Mato Grosso do Sul,Masculino,35,Parda,4 anos,3500,1.67
Mato Grosso do Sul,Feminino,60,Preta,6 anos,788,1.53
Mato Grosso do Sul,Feminino,59,Parda,Sem instrução e menos de um ano,788,1.7
Mato Grosso do Sul,Masculino,43,Parda,15 anos ou mais,3000,1.72
Mato Grosso do Sul,Feminino,52,Branca,Sem instrução e menos de um ano,900,1.64
Mato Grosso do Sul,Masculino,23,Parda,11 anos,1000,1.8
Mato Grosso do Sul,Masculino,56,Parda,4 anos,1600,1.72
Mato Grosso do Sul,Feminino,34,Branca,11 anos,980,1.73
Mato Grosso do Sul,Masculino,40,Indígena,11 anos,3000,1.71
Mato Grosso do Sul,Masculino,38,Parda,7 anos,2300,1.67
Mato Grosso do Sul,Masculino,43,Branca,11 anos,900,1.68
Mato Grosso do Sul,Feminino,35,Parda,5 anos,900,1.64
Mato Grosso do Sul,Masculino,33,Parda,6 anos,1776,1.63
Mato Grosso do Sul,Masculino,29,Branca,5 anos,1200,1.72
Mato Grosso do Sul,Feminino,43,Parda,5 anos,788,1.71
Mato Grosso do Sul,Feminino,34,Parda,4 anos,600,1.75
Mato Grosso do Sul,Masculino,54,Branca,2 anos,0,1.84
Mato Grosso do Sul,Masculino,57,Branca,11 anos,1000,1.64
Mato Grosso do Sul,Feminino,53,Branca,5 anos,200,1.74
Mato Grosso do Sul,Masculino,22,Parda,9 anos,1300,1.61
Mato Grosso do Sul,Masculino,46,Parda,3 anos,1000,1.68
Mato Grosso do Sul,Feminino,26,Parda,4 anos,200,1.65
Mato Grosso do Sul,Feminino,39,Branca,2 anos,4000,1.65
Mato Grosso do Sul,Feminino,36,Parda,11 anos,250,1.68
Mato Grosso do Sul,Masculino,46,Parda,6 anos,1500,1.63
Mato Grosso do Sul,Masculino,44,Branca,11 anos,1500,1.61
Mato Grosso do Sul,Masculino,22,Branca,6 anos,853,1.76
Mato Grosso do Sul,Masculino,28,Preta,4 anos,1200,1.7
Mato Grosso do Sul,Masculino,71,Branca,4 anos,7500,1.66
Mato Grosso do Sul,Feminino,57,Branca,11 anos,1500,1.59
Mato Grosso do Sul,Masculino,39,Parda,4 anos,1500,1.8
Mato Grosso do Sul,Feminino,34,Branca,10 anos,1200,1.67
Mato Grosso do Sul,Masculino,44,Parda,8 anos,1200,1.81
Mato Grosso do Sul,Masculino,29,Parda,4 anos,875,1.78
Mato Grosso do Sul,Masculino,37,Parda,4 anos,1500,1.7
Mato Grosso do Sul,Masculino,47,Parda,2 anos,2000,1.64
Mato Grosso do Sul,Feminino,32,Parda,8 anos,1000,1.74
Mato Grosso do Sul,Masculino,62,Parda,4 anos,200,1.73
Mato Grosso do Sul,Feminino,81,Parda,Sem instrução e menos de um ano,0,1.56
Mato Grosso do Sul,Masculino,57,Parda,Sem instrução e menos de um ano,788,1.72
Mato Grosso do Sul,Masculino,46,Branca,15 anos ou mais,9000,1.73
Mato Grosso do Sul,Masculino,36,Branca,15 anos ou mais,8000,1.69
Mato Grosso do Sul,Masculino,53,Parda,6 anos,1300,1.73
Mato Grosso do Sul,Feminino,30,Branca,8 anos,2500,1.7
Mato Grosso do Sul,Masculino,53,Branca,15 anos ou mais,9000,1.66
Mato Grosso do Sul,Feminino,39,Parda,11 anos,2000,1.74
Mato Grosso do Sul,Masculino,74,Amarela,11 anos,3000,1.7
Mato Grosso do Sul,Feminino,43,Branca,15 anos ou mais,1500,1.73
Mato Grosso do Sul,Masculino,49,Branca,11 anos,4500,1.81
Mato Grosso do Sul,Feminino,48,Branca,15 anos ou mais,3100,1.75
Mato Grosso do Sul,Feminino,72,Branca,8 anos,400,1.73
Mato Grosso do Sul,Masculino,63,Branca,15 anos ou mais,8000,1.78
Mato Grosso do Sul,Feminino,55,Branca,12 anos,3000,1.63
Mato Grosso do Sul,Masculino,71,Branca,15 anos ou mais,6500,1.59
Mato Grosso do Sul,Feminino,44,Branca,15 anos ou mais,1500,1.85
Mato Grosso do Sul,Feminino,30,Branca,11 anos,1750,1.68
Mato Grosso do Sul,Masculino,33,Parda,11 anos,8000,1.64
Mato Grosso do Sul,Masculino,61,Parda,3 anos,1300,1.65
Mato Grosso do Sul,Feminino,62,Branca,15 anos ou mais,10000,1.74
Mato Grosso do Sul,Masculino,56,Branca,11 anos,788,1.67
Mato Grosso do Sul,Masculino,62,Branca,15 anos ou mais,4000,1.64
Mato Grosso do Sul,Masculino,56,Branca,15 anos ou mais,3000,1.58
Mato Grosso do Sul,Feminino,41,Parda,15 anos ou mais,4500,1.62
Mato Grosso do Sul,Masculino,56,Parda,8 anos,2400,1.75
Mato Grosso do Sul,Feminino,81,Branca,4 anos,0,1.71
Mato Grosso do Sul,Masculino,61,Branca,15 anos ou mais,7500,1.73
Mato Grosso do Sul,Masculino,23,Branca,8 anos,800,1.66
Mato Grosso do Sul,Masculino,69,Branca,2 anos,1500,1.92
Mato Grosso do Sul,Masculino,42,Branca,11 anos,2800,1.6
Mato Grosso do Sul,Masculino,60,Branca,11 anos,5200,1.72
Mato Grosso do Sul,Masculino,25,Preta,5 anos,1600,1.69
Mato Grosso do Sul,Masculino,20,Branca,11 anos,1300,1.63
Mato Grosso do Sul,Masculino,30,Parda,11 anos,4000,1.61
Mato Grosso do Sul,Masculino,33,Preta,11 anos,2700,1.97
Mato Grosso do Sul,Masculino,43,Preta,8 anos,1500,1.67
Mato Grosso do Sul,Masculino,59,Parda,8 anos,2500,1.69
Mato Grosso do Sul,Feminino,57,Parda,6 anos,788,1.53
Mato Grosso do Sul,Feminino,45,Branca,15 anos ou mais,10000,1.69
Mato Grosso do Sul,Masculino,49,Branca,15 anos ou mais,10000,1.67
Mato Grosso do Sul,Masculino,54,Branca,15 anos ou mais,3800,1.79
Mato Grosso do Sul,Masculino,23,Parda,10 anos,1950,1.72
Mato Grosso do Sul,Masculino,28,Parda,11 anos,1190,1.68
Mato Grosso do Sul,Masculino,58,Parda,6 anos,1700,1.81
Mato Grosso do Sul,Masculino,46,Branca,10 anos,1680,1.79
Mato Grosso do Sul,Feminino,24,Branca,10 anos,1375,1.68
Mato Grosso do Sul,Masculino,52,Branca,5 anos,1036,1.55
Mato Grosso do Sul,Masculino,48,Branca,4 anos,788,1.67
Mato Grosso do Sul,Feminino,49,Parda,7 anos,1100,1.81
Mato Grosso do Sul,Masculino,47,Parda,5 anos,788,1.62
Mato Grosso do Sul,Masculino,36,Parda,7 anos,1200,1.8
Mato Grosso do Sul,Masculino,44,Branca,8 anos,1500,1.71
Mato Grosso do Sul,Feminino,62,Parda,15 anos ou mais,1200,1.65
Mato Grosso do Sul,Feminino,37,Parda,11 anos,1600,1.69
Mato Grosso do Sul,Masculino,58,Branca,4 anos,900,1.73
Mato Grosso do Sul,Feminino,50,Parda,11 anos,1506,1.77
Mato Grosso do Sul,Masculino,58,Branca,11 anos,1800,1.83
